"BOX HILL
(N-E METRO)",RAW,,,,,,,"BOX HILL
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,31.77%,0.00%,68.23%,0.00%,0.00%,,,LNP,25.41%,0.00%,54.59%,20.00%,0.00%,0.00%,100.00%
GRN,0.00%,0.00%,0.00%,0.00%,0.00%,,,GRN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IND,7.71%,7.71%,31.07%,0.00%,53.50%,,,ON,12.00%,53.00%,5.00%,0.00%,10.00%,20.00%,100.00%
OTH,19.22%,17.26%,63.52%,0.00%,0.00%,,,IND,6.55%,6.55%,26.41%,15.00%,0.00%,45.48%,100.00%
,,,,,,,,OTH,13.46%,12.08%,44.46%,30.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"RICHMOND
(N METRO)",RAW,,,,,,,"RICHMOND
(N METRO)",SYNTHETIC,,,,,,
Inner Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,19,,Index,1,2,3,4,5,6,19
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,31.88%,0.00%,68.12%,0.00%,0.00%,,,LNP,25.50%,0.00%,54.50%,20.00%,0.00%,0.00%,100.00%
GRN,0.00%,0.00%,0.00%,0.00%,0.00%,,,GRN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IND,20.38%,24.22%,8.15%,0.00%,47.24%,,,ON,12.00%,53.00%,5.00%,0.00%,10.00%,20.00%,100.00%
OTH,22.28%,15.49%,62.23%,0.00%,0.00%,,,IND,17.33%,20.59%,6.93%,15.00%,0.00%,40.16%,100.00%
,,,,,,,,OTH,15.60%,10.85%,43.56%,30.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"ESSENDON
(N METRO)",RAW,,,,,,,"ESSENDON
(N METRO)",SYNTHETIC,,,,,,
Middle Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,20,,Index,1,2,3,4,5,6,20
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,81.20%,18.80%,0.00%,0.00%,0.00%,,,GRN,77.14%,17.86%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,0.00%,0.00%,0.00%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,18.93%,26.37%,54.70%,0.00%,0.00%,,,IND,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,OTH,11.36%,15.82%,32.82%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"PASCOE VALE
(N METRO)",RAW,,,,,,,"PASCOE VALE
(N METRO)",SYNTHETIC,,,,,,
Middle Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,21,,Index,1,2,3,4,5,6,21
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,37.97%,0.00%,62.03%,0.00%,0.00%,,,LNP,26.58%,0.00%,43.42%,30.00%,0.00%,0.00%,100.00%
GRN,0.00%,0.00%,0.00%,0.00%,0.00%,,,GRN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IND,15.78%,8.45%,29.50%,0.00%,46.27%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,18.85%,25.33%,55.82%,0.00%,0.00%,,,IND,13.41%,7.18%,25.08%,15.00%,0.00%,39.33%,100.00%
,,,,,,,,OTH,11.31%,15.20%,33.49%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"PRESTON
(N METRO)",RAW,,,,,,,"PRESTON
(N METRO)",SYNTHETIC,,,,,,
Middle Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,22,,Index,1,2,3,4,5,6,22
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,32.73%,0.00%,67.27%,0.00%,0.00%,,,LNP,22.91%,0.00%,47.09%,30.00%,0.00%,0.00%,100.00%
GRN,0.00%,0.00%,0.00%,0.00%,0.00%,,,GRN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
IND,22.44%,18.50%,59.06%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,21.06%,30.35%,48.59%,0.00%,0.00%,,,IND,19.07%,15.73%,50.20%,15.00%,0.00%,0.00%,100.00%
,,,,,,,,OTH,12.63%,18.21%,29.16%,40.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"BROADMEADOWS
(N METRO)",RAW,,,,,,,"BROADMEADOWS
(N METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,23,,Index,1,2,3,4,5,6,23
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,74.88%,25.12%,0.00%,0.00%,0.00%,,,GRN,71.13%,23.87%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,12.45%,9.97%,5.75%,0.00%,71.83%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,26.15%,29.55%,44.30%,0.00%,0.00%,,,IND,10.58%,8.48%,4.88%,15.00%,0.00%,61.06%,100.00%
,,,,,,,,OTH,13.08%,14.77%,22.15%,50.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"GREENVALE
(N METRO)",RAW,,,,,,,"GREENVALE
(N METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,24,,Index,1,2,3,4,5,6,24
